,username,createdAt,text,followers,retweetCount
1495,Wengers_Dota,4/25/2017 10:38,RT @ Zachpiona : Ca n't wait to roast my kids in a family group chat,,
1533,Wengers_Dota,4/25/2017 10:17,RT @ didierdrogba : Dear @ PHXRisingFC I 'll be off on loan with @ ChelseaFC for two days 26/27th of May ,3087,93056
1644,shadow_dota,4/25/2017 9:25,RT @ TEAMEVGA : EVGA GeForce GTX 1080 Ti FTW3 features RGB lighting on the backplate as well as front . https : //t.co/CG7YS2s1lp,89,7833
1988,Wengers_Dota,4/25/2017 6:48,RT @ MesutOzil1088 : ? Just in case you forgot ... # YaGunnersYa https : //t.co/SHJ07uB8gn,3087,7540
7,Wengers_Dota,4/25/2017 23:54,RT @ UncleCoolee : Women use they phones for everything except 911. https : //t.co/8bvg0XcBEQ,3087,6593
1751,Wengers_Dota,4/25/2017 8:35,RT @ promseventeen : if not them ,3087,4723
1749,Wengers_Dota,4/25/2017 8:36,RT @ caitlinflads_ : This is the most beautiful set of twins I 've ever seen . The mom is white & amp ; the dad is black ?? https : //t.co/MO7lSMj9OD,27,4357
1625,gabitdukaev77,4/25/2017 9:34,RT @ Gamersbook : We have just announced probably the best # dota2 giveaway we organized so far . Details - http : //t.co/yHOujp8fEz . # steampowe…,276,3224
11,ma_dota,4/25/2017 23:46,RT @ Zarifmal : Guess who just converted today ? ! ? ! # alhamdulillah https : //t.co/6YE49oPqX5,3087,2918
1525,Wengers_Dota,4/25/2017 10:20,RT @ cpiazzi : I did not expect that . https : //t.co/q5oDSwkmTV,,
